vol_label,vol_key,V_norm,p_norm_mean,p_norm_std
25%,v1,0.0020992203868023256,0.2742789909363027,0.02445451209502913
25%,v1,0.0021091692985881184,0.2763097750802066,0.02247381420477963
25%,v1,0.0021191182103739116,0.2790774914149474,0.02506147139701004
25%,v1,0.0021290671221597043,0.2815219612878942,0.022050578233385767
25%,v1,0.0021390160339454975,0.2843725361450909,0.022050578233385767
25%,v1,0.0021489649457312903,0.2856634765263216,0.024380715171936695
25%,v1,0.0021589138575170835,0.2859684331071024,0.024450972757668138
25%,v1,0.0021688627693028763,0.286569774227804,0.02483480970531582
25%,v1,0.0021788116810886695,0.28793585068667166,0.025037077206993004
25%,v1,0.0021887605928744623,0.29213049244519007,0.024629215698331725
25%,v1,0.0021987095046602555,0.2943144038797648,0.02495114084475057
25%,v1,0.0022086584164460487,0.2969810285090757,0.024494565451912042
25%,v1,0.0022186073282318415,0.29780507163918585,0.02722679611853
25%,v1,0.0022285562400176347,0.29928295673908106,0.02722679611853
25%,v1,0.0022385051518034275,0.29869767652366946,0.02790856326806738
25%,v1,0.0022484540635892207,0.2978469838415022,0.028469129230061598
25%,v1,0.0022584029753750135,0.2974271641374582,0.028812518876426513
25%,v1,0.0022683518871608067,0.2992532127581128,0.028854660729942787
25%,v1,0.0022783007989465994,0.30144579736515964,0.02545990807187039
25%,v1,0.0022882497107323927,0.30536476890277875,0.028120395931037264
25%,v1,0.0022981986225181854,0.30743475684226146,0.02693244372920265
25%,v1,0.0023081475343039786,0.3091410717594197,0.026873694256932586
25%,v1,0.002318096446089772,0.309264908364065,0.02594753290083602
25%,v1,0.0023280453578755646,0.30994688312139623,0.025480670294265092
25%,v1,0.002337994269661358,0.31220163074251495,0.02722679611853
25%,v1,0.0023479431814471506,0.3137909198732521,0.02212927484135603
25%,v1,0.002357892093232944,0.3150790167563713,0.023133738660170246
25%,v1,0.0023678410050187366,0.3150997037626241,0.025902391601669576
25%,v1,0.00237778991680453,0.3155612673758948,0.02693244372920265
25%,v1,0.0023877388285903226,0.31696594669560146,0.026260559140760965
25%,v1,0.002397687740376116,0.3194945520024227,0.02471842590658492
25%,v1,0.0024076366521619086,0.3216042494572012,0.02494145040895479
25%,v1,0.0024175855639477018,0.32378770398616386,0.025835983004421737
25%,v1,0.0024275344757334946,0.32561324480718945,0.0220107247211599
25%,v1,0.0024374833875192878,0.32839458112885134,0.024072061334157034
25%,v1,0.002447432299305081,0.32862597162922924,0.018929394125759103
25%,v1,0.0024573812110908737,0.3302609221544679,0.02074809248905269
25%,v1,0.002467330122876667,0.33251157160084077,0.0185135324977884
25%,v1,0.0024772790346624597,0.3360548677564645,0.017173385821865967
25%,v1,0.002487227946448253,0.3372265217633381,0.017173385821865967
25%,v1,0.0024971768582340457,0.33710469515832614,0.01724207964974268
25%,v1,0.002507125770019839,0.337237529846768,0.018617268569858
25%,v1,0.0025170746818056317,0.3380622413909229,0.020209962287523992
25%,v1,0.002527023593591425,0.3388495231796111,0.019763010664032618
25%,v1,0.0025369725053772177,0.34004759885852154,0.019763010664032618
25%,v1,0.002546921417163011,0.3415570464800086,0.022409147732120476
25%,v1,0.002556870328948804,0.3433601235318063,0.019841312090759632
25%,v1,0.002566819240734597,0.34423520806239766,0.019024861355570234
25%,v1,0.00257676815252039,0.3454698796644619,0.01975273740326342
25%,v1,0.002586717064306183,0.3466842788240404,0.020064492319960794
25%,v1,0.002596665976091976,0.3484592003259016,0.019085733875468115
25%,v1,0.002606614887877769,0.34932852732323166,0.015669884541193755
25%,v1,0.002616563799663562,0.3500467423513461,0.013429243213150862
25%,v1,0.002626512711449355,0.351138604914987,0.013913559658535144
25%,v1,0.002636461623235148,0.35293923237784114,0.013758798347125196
25%,v1,0.002646410535020941,0.3556773379911365,0.017146112380926042
25%,v1,0.002656359446806734,0.35748127150892334,0.014690261225593533
25%,v1,0.0026663083585925272,0.3583401964515614,0.014790295912956044
25%,v1,0.00267625727037832,0.35985186180288947,0.014759273818939524
25%,v1,0.0026862061821641132,0.36229152189312314,0.012306423757804965
25%,v1,0.002696155093949906,0.3671538266824769,0.014670230820269999
25%,v1,0.002706104005735699,0.37024380130824575,0.013755498171103395
25%,v1,0.002716052917521492,0.3730712452198314,0.013640937693416446
25%,v1,0.002726001829307285,0.37392414886299197,0.010396338406619585
25%,v1,0.002735950741093078,0.3752275432713345,0.011314518266285118
25%,v1,0.002745899652878871,0.376844501770061,0.012614918860199319
25%,v1,0.002755848564664664,0.37915078250408357,0.011323475294203062
25%,v1,0.002765797476450457,0.3805413842697382,0.01583959466732818
25%,v1,0.00277574638823625,0.38086575940402556,0.016794854518815485
25%,v1,0.002785695300022043,0.3809524983281986,0.017141197297378924
25%,v1,0.0027956442118078364,0.3820652349611029,0.018438297084256684
25%,v1,0.002805593123593629,0.3839510092532651,0.01741323722383194
25%,v1,0.0028155420353794224,0.3848752517607333,0.01717338582186597
25%,v1,0.002825490947165215,0.38529855134850094,0.01717338582186597
